Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
28-Jun-16,505,512.6,500.1,501,1518673,764153170.5
29-Jun-16,504.5,507.25,499.3,504.95,1209538,608381752.8
30-Jun-16,509.1,509.7,502.35,505.75,2334281,1180947576
01-Jul-16,508.2,516.55,506.3,511.4,715389,366364849.7
04-Jul-16,511,524,510.55,519.1,1250195,648980698.1
05-Jul-16,516.8,519,513.05,515.25,456205,235046352.6
07-Jul-16,512.8,515,503.5,504.55,1036078,523579300.1
08-Jul-16,501,507.45,499,502.95,733349,368465040.7
11-Jul-16,505.95,512.4,504.45,508.4,729356,370529877.2
12-Jul-16,509.15,511.9,505,507.2,931824,473084143.8
13-Jul-16,509,511.5,504.95,506.55,1194115,605163408
14-Jul-16,506.95,519.5,506.5,518.15,753846,388006880.8
15-Jul-16,520.7,523.8,501.9,504.05,2417368,1221136207
18-Jul-16,505.1,509.9,503,506.6,1132642,573045438.8
19-Jul-16,506.8,511.9,504.05,507.6,1013525,513735766.7
20-Jul-16,504.25,509.6,504.1,505.35,1424321,720552431.3
21-Jul-16,506,508.5,503.2,505.3,528981,267331328.1
22-Jul-16,507,508.5,504.4,504.9,1008674,510026262
25-Jul-16,505,511.4,502.8,508.4,1028518,522641651
26-Jul-16,508,512.75,500,502.5,3069751,1551884055
27-Jul-16,502.1,506.45,501.1,504.25,744952,375625175.8
28-Jul-16,498,499,482.1,485.55,1867921,914347507.3
29-Jul-16,488.95,490.9,482.55,487.95,1134853,553660800.5
01-Aug-16,485.2,493,476.1,490.15,2125956,1029778968
02-Aug-16,486,509.7,485.1,499.2,4792350,2398322561
03-Aug-16,501.2,503.95,493.1,496.9,1196987,594876668.2
04-Aug-16,498.9,503.9,494.2,499.95,793067,395873166.3
05-Aug-16,502,507.5,493.3,495.05,1681614,839275106.7
08-Aug-16,496,504.5,496,503.65,913042,458745685.5
09-Aug-16,505,505.8,495.55,502.5,1299439,650066552
10-Aug-16,504,504,491.5,497.2,1326514,659215624.4
11-Aug-16,501,501.9,495.3,500.1,1681953,840638048.1
12-Aug-16,504,504,488.4,493.35,3618973,1800530029
16-Aug-16,490.55,491.75,478.25,482.95,2087382,1012015322
17-Aug-16,483.1,487,472.2,474.65,913427,436971343.8
18-Aug-16,477.65,478.7,468.25,469.5,1005420,476067678.6
19-Aug-16,470,477.2,470,473.2,3664586,1733041466
22-Aug-16,472,474.3,465,466.35,1107412,521346001.3
23-Aug-16,466.7,474.5,461.5,465.8,1617568,756293179.3
24-Aug-16,467,471.7,463.5,467.05,894108,417825842.8
25-Aug-16,470.2,470.95,455.9,458.1,1769817,817775009.2
